word,count,category
politics aesthetics,124,other
sociology power,124,other
biology gender,124,other
relevance,124,other
market economy,123,other
linguistics law,123,other
science business,123,other
object grammar,123,other
psychoanalysis philosophy,123,other
deconstruction building,123,other
deconstruction,123,other
sociology criminology,122,other
law ecology,122,other
drama,122,other
sociology engineering,122,other
icon,120,other
affect,120,other
science ecology,120,other
status,120,other
studies power,120,other
theory political,120,other
sexuality sociology,120,other
anthropology political,120,other
development economics,120,other
engineering computer,119,other
color,119,other
sustainability,119,other
feminism power,119,other
movement political,118,other
liberation,118,other
independence,118,other
ecofeminism,118,other
humanities political,118,other
history computer,118,other
positive,118,other
rhetorical question,118,other
ideal,117,other
faith,117,other
sociology medicine,117,other
probability,116,other
thematic,116,other
cartography,116,other
metaphor,116,other
mathematics mathematics,116,other
women history,116,other
focus optics,116,other
philosophy mathematics,116,other
sociology religious,115,other
humanities philosophy,115,other
ideal ethics,115,other
dominance,115,other
philosophy history,115,other
studies anthropology,115,other
psychology literature,115,other
feminism narrative,114,other
history media,114,other
citizen,114,other
black women,114,other
type,114,other
telecommunications,114,other
politics history,114,other
studies public,114,other
resource,113,other
thematic analysis,113,other
aesthetics history,113,other
archaeology law,113,other
position finance,113,other
movement sociology,112,other
science feminism,112,other
positive economics,112,other
medicine pathology,112,other
financial,112,other
independence probability,111,other
performance,111,other
probability theory,111,other
dominance genetics,111,other
affect linguistics,111,other
sociology geography,111,other
ideology gender,111,other
archaeology philosophy,111,other
epistemology art,110,other
abstract data,110,other
information,110,other
humanism,110,other
data type,110,other
music political,110,other
biology law,110,other
abstract,110,other
realm,110,other
network,110,other
epistemology aesthetics,110,other
feminism islam,109,other
citizen journalism,109,other
studies theology,109,other
economy sociology,109,other
psychology history,109,other
specialty,109,other
epistemology politics,109,other
law theology,109,other
agriculture,109,other
mental health,109,psychology
biology philosophy,109,other
set abstract,108,other
medicine law,108,other
vulnerability,108,other
linguistics political,108,other
relations gender,108,other
utterance,107,other
architecture,107,other
historiography,106,other
appropriation,106,other
psychology linguistics,106,other
disease medical,105,other
leadership,105,other
infectious disease,105,other
medical specialty,105,other
infectious,105,other
geography law,104,other
empire,104,other
19,104,other
covid 19,104,other
ideology sociology,104,other
covid,104,other
vulnerability computing,104,other
coronavirus disease,104,other
disease 2019,104,other
2019 covid,104,other
archaeology politics,103,other
postcolonialism international,103,other
postcolonialism,103,other
digital,103,other
gerontology,103,other
emergency,103,other
science theology,103,other
knowledge management,103,other
style visual,103,other
performative utterance,102,other
natural archaeology,102,other
criminology sociology,102,other
performative,102,other
criminology law,102,other
institution,102,other
literacy,102,other
justice sociology,102,other
translation,102,other
virus,102,other
studies identity,102,other
feminism philosophy,102,other
enlightenment,102,other
ethics sociology,101,other
aesthetics social,101,other
epistemology computer,101,other
newspaper,101,other
philosophy anthropology,101,other
science database,101,other
right,100,other
genealogy,100,other
race theory,100,other
critical race,100,other
theory feminism,99,other
labour economics,99,other
subordination linguistics,99,other
pleasure,99,other
performance art,99,other
subordination,99,other
engineering engineering,99,other
medical education,99,other
narrative sociology,99,other
morality,98,other
archaeology computer,98,other
identity politics,98,other
medical emergency,98,other
structural engineering,98,other
dance,97,other
virus hiv,97,other
human immunodeficiency,97,other
feminism identity,97,other
mathematics philosophy,97,other
legislation,97,other
evolutionary,97,other
immunodeficiency virus,97,other
hiv,97,other
scholarship sociology,97,other
therapy,97,other
immunodeficiency,97,other
aesthetics politics,96,other
arts sociology,96,other
studies context,96,other
social justice,96,other
postmodernism feminism,96,other
legitimacy,96,other
education sociology,96,other
theory epistemology,95,other
politics feminist,95,other
law artificial,95,other
pedagogy political,95,other
narrative gender,95,other
existentialism,94,philosophy
philosophy psychoanalysis,94,other
participatory,94,other
women color,94,other
entrepreneurship,94,other
philosophy quantum,94,other
elite,94,other
law medicine,94,other
psychology pedagogy,93,other
methodology,93,other
linguistics sociology,93,other
economics finance,93,other
law chemistry,93,other
harm,93,other
biology sociology,93,other
theory social,92,other
law geography,92,other
art social,92,other
reproductive health,92,other
philosophy science,92,other
appeal,92,other
collective,92,other
literature aesthetics,92,other
economy political,91,other
climate,91,other
feminism state,91,other
medicine political,91,other
optics physics,91,other
section,90,other
language computer,90,other
modernism,90,other
art linguistics,90,other
spirituality,90,other
studies economic,90,other
orientation,90,other
humanities sociology,90,other
dialectic,90,other
subversion,90,other
science chemistry,89,science
meteorology,89,other
democracy political,89,other
mathematics statistics,89,other
art media,89,other
art epistemology,89,other
sociology pedagogy,88,other
focus group,88,other
physics philosophy,88,other
action research,88,other
ideology feminism,88,other
analysis mathematics,88,other
mainstreaming,88,other
science machine,88,other
geography archaeology,88,other
studies linguistics,88,other
studies criminology,87,other
web computer,87,other
science human,87,other
constitution,87,other
physics politics,87,other
phenomenology,87,other
articulation,87,other
articulation sociology,87,other
analysis sociology,86,other
term,86,other
social change,86,other
indonesian,86,other
technology,86,other
politics psychology,86,other
science visual,86,other
phenomenology philosophy,86,other
archaeology political,86,other
geography sociology,86,other
political radicalism,85,other
studies pedagogy,85,other
theory feminist,85,other
radicalism,85,other
linguistics archaeology,85,other
art psychoanalysis,85,other
futures,85,other
socioeconomics,85,other
social work,85,other
feminism black,85,other
consumption,85,other
self,85,other
contract,84,other
mathematics gender,84,other
service,84,other
research methodology,83,other
scholarship gender,83,other
ethics gender,83,other
oppression feminism,83,other
economics social,83,other
interaction,83,other
sociology narrative,83,other
feminism scholarship,82,other
ergonomics,82,other
literature psychology,82,other
materials,82,other
studies ideology,82,other
economics philosophy,82,other
activism,82,other
factors ergonomics,82,other
philosophy artificial,82,other
human factors,82,other
feminism epistemology,82,other
materials science,82,other
factors,82,other
irish,81,other
everyday,81,other
scholarship feminism,81,other
feminism oppression,81,other
obstetrics,81,other
oppression gender,81,other
project,81,other
physics computer,81,other
studies engineering,80,other
control suicide,79,other
modernism music,79,other
economic geography,79,other
humanity,79,other
philosophy feminist,79,other
authoritarianism,79,other
politics linguistics,79,other
measure,79,other
homosexuality,79,other
futures contract,78,other
neoclassical,78,other
geography political,78,other
section typography,78,other
transformation,78,other
neoclassical economics,78,other
ratio,78,other
studies visual,78,other
economics gender,78,other
masculinity gender,78,other
conceptualization,78,other
scale,78,other
economics computer,78,other
studies religious,78,other
politics context,77,other
linguistics gender,77,other
intersectionality sociology,77,other
memoir,77,other
community,77,other
feminism race,77,other
wave,77,other
civil society,77,other
gender inequality,77,other
feminism aesthetics,77,other
everyday life,77,other
posthuman,76,other
criminal justice,76,other
biology genetics,76,other
archaeology linguistics,76,other
psychology psychotherapist,76,other
art archaeology,76,other
financial economics,76,other
history visual,76,other
justice political,76,other
film,76,other
economics politics,75,other
queer gender,75,other
biology political,75,other
critical discourse,75,other
empirical,75,other
disability,75,other
psychology engineering,75,other
psychology psychiatry,75,other
tourism,75,other
working,75,other
studies physics,74,other
philosophy medicine,74,other
counseling,74,other
evolutionary biology,74,other
studies narrative,74,other
patriarchy gender,74,other
physics law,74,other
theology law,74,other
art anthropology,74,other
auditing,73,other
ethics epistemology,73,other
materiality auditing,73,other
relations social,73,other
materiality,73,other
ethics philosophy,73,other
diaspora,73,other
union,73,other
content measure,73,other
popularity,73,other
global,73,other
measure theory,73,other
computer network,73,other
key,73,other
applied,73,other
patriarchy feminism,72,other
psychoanalysis political,72,other
medicine sociology,72,other
liberation movement,72,other
history social,72,other
biology computer,72,other
computer interaction,72,other
law biochemistry,72,other
sociology visual,72,other
human computer,72,other
ideology politics,72,other
feminism law,71,other
science biochemistry,71,other
commodification,71,other
manifesto,71,other
politics identity,71,other
consumption sociology,71,other
psychoanalysis law,71,other
poetics,71,other
comics,71,other
middle class,71,other
politics ideology,71,other
politics literature,71,other
science psychoanalysis,70,other
status quo,70,other
mathematics law,70,other
mathematics computer,70,other
intelligence philosophy,70,other
studies black,70,other
scale ratio,70,other
thermodynamics,70,other
philosophy engineering,70,other
quo,70,other
feminism literature,70,other
performativity,70,other
psychology criminology,70,other
promotion,69,other
gender identity,69,other
contradiction,69,other
history ancient,69,other
climate change,69,other
storytelling,69,other
legislature,69,other
science humanities,69,other
medicine social,68,other
robot,68,other
ecology philosophy,68,other
psychoanalysis aesthetics,68,other
intervention counseling,68,other
material,68,other
alliance,68,other
orientalism,68,other
sociology ideology,68,other
physics social,67,other
graph,67,other
studies biology,67,other
music feminism,67,other
fantasy,67,other
aerospace,67,other
physics feminism,67,other
waste,67,other
aerospace engineering,67,other
criminology psychology,67,other
sociology critical,67,other
creativity,67,other
christianity,67,other
environmentalism,67,other
genetics biology,67,other
feminism representation,66,other
objectivity philosophy,66,other
objectivity,66,other
politics power,66,other
graphics,66,other
production,66,other
sexual orientation,66,other
law neuroscience,66,other
scope,66,other
graph theory,66,other
economics economic,66,other
key lock,66,other
operating computer,66,other
lock,66,other
theory politics,66,other
metaphysics,66,other
populism,66,other
femininity feminism,66,other
graphical gender,66,other
scope computer,66,other
macroeconomics,65,other
studies medicine,65,other
microeconomics,65,other
ecology sociology,65,other
literature politics,65,other
pragmatism,65,other
growth economics,65,other
international law,65,other
pedagogy psychology,65,other
hegemonic,65,other
politics archaeology,65,other
physical therapy,65,other
hegemonic masculinity,65,other
east,65,other
secularism,65,other
philosophy philosophy,64,other
anthropology art,64,other
psychology physics,64,other
feminist theology,64,other
geometry mathematics,64,other
contest,64,other
dilemma,64,other
art humanities,64,other
biopower,64,other
physics optics,64,other
archaeology feminism,64,other
movement gender,64,other
studies mathematics,64,other
world war,64,other
pandemic,64,other
sociology biology,64,other
anthropology computer,64,other
pluralism,64,other
environmental science,64,other
lesbian gender,64,other
psychology mathematics,64,other
social capital,63,other
empirical research,63,other
politics biology,63,other
prejudice,63,other
legal term,63,other
prejudice legal,63,other
law business,63,other
semiotics,63,other
research sociology,63,other
philosophy programming,63,other
ethics social,63,other
chess,63,other
law visual,63,other
archaeology physics,63,other
evolution,62,other
biology physics,62,other
child,62,other
psychoanalysis epistemology,62,other
islam gender,62,other
